ReadID	TranscriptID	Start	End	CleanLen	ErrorLen	Insertions	Deletions	Substitutions	Region
TRANS_009_r1_5UTR_CDS	TRANS_009	0	311	311	313	5	3	3	5UTR_CDS
TRANS_009_r2_5UTR_CDS	TRANS_009	21	237	216	217	2	1	3	5UTR_CDS
TRANS_009_r3_CDS_3UTR	TRANS_009	51	438	387	389	5	3	6	CDS_3UTR
TRANS_009_r4_CDS	TRANS_009	65	291	226	229	5	2	1	CDS
TRANS_009_r5_CDS_3UTR	TRANS_009	51	447	396	398	7	5	3	CDS_3UTR
TRANS_009_r6_CDS_3UTR	TRANS_009	221	371	150	151	1	0	1	CDS_3UTR
TRANS_009_r7_CDS_3UTR	TRANS_009	123	371	248	251	6	3	1	CDS_3UTR
TRANS_009_r8_CDS_3UTR	TRANS_009	206	447	241	244	5	2	1	CDS_3UTR
TRANS_009_r9_FULL	TRANS_009	39	407	368	373	8	3	3	FULL
TRANS_009_r10_CDS_3UTR	TRANS_009	113	393	280	282	3	1	5	CDS_3UTR
TRANS_010_r1_5UTR	TRANS_010	0	224	224	225	4	3	5	5UTR
TRANS_010_r2_5UTR_CDS	TRANS_010	269	585	316	310	2	8	6	5UTR_CDS
TRANS_010_r3_CDS	TRANS_010	318	705	387	389	6	4	3	CDS
TRANS_010_r4_CDS	TRANS_010	350	498	148	148	1	1	2	CDS
TRANS_010_r5_CDS	TRANS_010	369	598	229	227	1	3	1	CDS
TRANS_010_r6_CDS_3UTR	TRANS_010	495	859	364	363	4	5	5	CDS_3UTR
TRANS_010_r7_CDS_3UTR	TRANS_010	661	859	198	198	4	4	3	CDS_3UTR
TRANS_010_r8_3UTR	TRANS_010	839	968	129	128	1	2	1	3UTR
TRANS_010_r9_CDS	TRANS_010	346	662	316	320	7	3	3	CDS
TRANS_010_r10_5UTR_CDS	TRANS_010	147	407	260	259	2	3	5	5UTR_CDS
