ReadID	RefStart	RefEnd	CleanLen	ErrorLen	Insertions	Deletions	Substitutions
read_50	7968	8796	828	835	21	14	4
read_51	3548	4386	838	853	25	10	7
read_52	3450	3766	316	314	3	5	5
read_53	7181	8021	840	852	22	10	13
read_54	5470	6222	752	757	15	10	9
read_55	1388	1783	395	401	12	6	5
read_56	3011	3408	397	401	10	6	7
read_57	2898	3243	345	346	6	5	5
read_58	5729	6416	687	682	14	19	8
read_59	2920	3731	811	816	15	10	5
read_60	3297	3931	634	641	16	9	8
read_61	1444	2310	866	878	21	9	11
read_62	471	1169	698	707	21	12	6
read_63	3688	4468	780	795	22	7	12
read_64	3019	3734	715	724	18	9	5
read_65	5209	6056	847	855	16	8	6
read_66	5849	6550	701	709	19	11	15
read_67	3178	3556	378	381	10	7	5
read_68	1207	2049	842	843	19	18	6
read_69	1758	2465	707	704	10	13	10
read_70	2536	3147	611	611	10	10	9
read_71	3429	4409	980	978	20	22	6
read_72	9336	9803	467	470	8	5	4
read_73	37	965	928	929	14	13	11
read_74	7669	8150	481	478	5	8	10
read_75	6737	7148	411	409	6	8	4
read_76	5434	5869	435	439	12	8	3
read_77	7849	8457	608	613	18	13	3
read_78	6479	7088	609	620	17	6	10
read_79	7668	8560	892	890	13	15	16
read_80	7681	7991	310	304	1	7	4
read_81	5465	5959	494	500	12	6	6
read_82	4412	4860	448	455	9	2	9
read_83	1842	2825	983	1001	30	12	18
read_84	3292	3645	353	352	3	4	3
read_85	9117	9688	571	569	6	8	5
read_86	5263	6242	979	987	26	18	11
read_87	3894	4738	844	845	14	13	14
read_88	9605	9916	311	315	7	3	3
read_89	3100	3802	702	711	19	10	16
read_90	4655	5298	643	646	11	8	10
read_91	3656	4401	745	748	13	10	5
read_92	4305	5093	788	797	26	17	4
read_93	2424	3333	909	915	25	19	13
read_94	6886	7492	606	602	5	9	6
read_95	8968	9806	838	846	16	8	11
read_96	3056	3442	386	387	8	7	4
read_97	1332	1929	597	599	10	8	8
read_98	4220	4959	739	740	14	13	6
read_99	6508	7330	822	824	16	14	2
read_100	4376	4872	496	499	9	6	5
read_101	8991	9519	528	536	12	4	10
read_102	3646	4314	668	678	16	6	6
read_103	5390	5712	322	318	1	5	7
read_104	6426	7287	861	851	10	20	12
read_105	7694	8292	598	613	25	10	6
read_106	3330	4183	853	859	21	15	11
read_107	7203	7818	615	622	13	6	4
read_108	5651	6142	491	496	11	6	5
read_109	9422	9739	317	316	4	5	2
read_110	8740	9163	423	424	7	6	8
read_111	4352	4676	324	331	9	2	1
read_112	4313	4990	677	684	17	10	7
read_113	1034	2033	999	996	13	16	11
read_114	1623	2313	690	695	14	9	11
read_115	5424	6289	865	873	14	6	8
read_116	3503	4123	620	622	10	8	5
read_117	6166	6794	628	636	16	8	3
read_118	456	967	511	516	11	6	3
read_119	832	1646	814	822	19	11	12
read_120	3997	4690	693	701	17	9	15
read_121	2062	3037	975	978	21	18	8
read_122	3046	3522	476	489	17	4	6
read_123	121	1022	901	910	20	11	14
read_124	6886	7826	940	953	27	14	6
read_125	1439	1865	426	424	3	5	8
read_126	7332	7654	322	318	3	7	2
read_127	4562	5307	745	757	19	7	6
read_128	1213	1997	784	791	17	10	7
read_129	3725	4697	972	983	23	12	11
read_130	409	712	303	305	10	8	3
read_131	9100	9763	663	676	22	9	7
read_132	4134	4795	661	665	16	12	3
read_133	7263	7834	571	583	18	6	9
read_134	4956	5774	818	825	18	11	13
read_135	5358	5741	383	390	12	5	0
read_136	6726	7679	953	948	14	19	10
read_137	1061	1699	638	646	18	10	4
read_138	2256	3174	918	923	14	9	12
read_139	5706	6355	649	647	10	12	5
read_140	7302	7667	365	365	6	6	2
read_141	8110	8452	342	350	10	2	3
read_142	2678	3481	803	796	7	14	13
read_143	2064	2651	587	598	16	5	3
read_144	5338	6326	988	1003	24	9	15
read_145	8378	8725	347	345	3	5	8
read_146	8359	9260	901	893	6	14	12
read_147	1331	1663	332	336	7	3	2
read_148	389	932	543	546	11	8	5
read_149	3906	4240	334	336	8	6	2
read_150	3202	4199	997	1004	22	15	10
read_151	1379	2068	689	688	10	11	7
read_152	1690	2652	962	957	15	20	12
read_153	928	1669	741	749	18	10	8
read_154	3821	4728	907	911	20	16	12
read_155	3855	4669	814	823	17	8	10
read_156	7815	8247	432	437	9	4	5
read_157	2190	2688	498	498	5	5	6
read_158	595	933	338	343	7	2	6
read_159	3632	4073	441	444	7	4	7
read_160	1779	2566	787	802	24	9	5
read_161	4113	5097	984	985	17	16	13
read_162	839	1155	316	321	10	5	4
read_163	2385	2843	458	459	9	8	3
read_164	1818	2251	433	438	8	3	8
read_165	4908	5884	976	972	15	19	10
read_166	6610	7187	577	584	12	5	7
read_167	6135	6954	819	821	17	15	6
read_168	6093	6829	736	744	14	6	6
read_169	5085	5568	483	489	12	6	5
read_170	9316	9792	476	485	13	4	5
read_171	2986	3776	790	790	15	15	10
read_172	1507	2390	883	885	15	13	8
read_173	6702	7467	765	769	13	9	13
read_174	8257	8974	717	725	20	12	7
read_175	259	1149	890	893	16	13	7
read_176	30	345	315	322	10	3	9
read_177	382	858	476	478	8	6	4
read_178	4256	5230	974	986	23	11	15
read_179	5913	6732	819	832	21	8	6
read_180	4339	4662	323	328	8	3	4
read_181	9560	9996	436	443	13	6	8
read_182	4267	5069	802	810	14	6	9
read_183	1911	2728	817	820	16	13	10
read_184	5226	5812	586	597	14	3	6
read_185	989	1304	315	322	9	2	6
read_186	9545	9967	422	431	16	7	6
read_187	6117	6801	684	696	19	7	7
read_188	4204	4697	493	498	11	6	8
read_189	6734	7380	646	639	6	13	11
read_190	6582	7042	460	457	4	7	10
read_191	7248	7862	614	611	8	11	8
read_192	3372	3845	473	473	7	7	5
read_193	7706	8358	652	658	14	8	7
read_194	3695	4262	567	568	8	7	10
read_195	4494	5166	672	676	15	11	7
read_196	2270	2905	635	646	18	7	9
read_197	7566	8194	628	628	8	8	9
read_198	4565	5278	713	710	11	14	10
read_199	7920	8521	601	607	12	6	8
read_200	7754	8102	348	353	9	4	4
read_201	1205	1783	578	578	6	6	12
read_202	9422	9973	551	554	13	10	1
read_203	1782	2169	387	387	4	4	11
read_204	3598	4584	986	1001	25	10	11
read_205	4068	4722	654	665	18	7	6
read_206	5936	6363	427	424	4	7	1
read_207	3395	3943	548	544	3	7	7
read_208	3716	4604	888	893	18	13	12
read_209	9304	9750	446	448	8	6	3
read_210	5205	6176	971	990	31	12	12
read_211	2104	2582	478	482	10	6	3
read_212	1399	1818	419	424	10	5	6
read_213	8489	9428	939	940	17	16	13
read_214	7613	7921	308	313	8	3	3
read_215	3356	4155	799	812	21	8	10
read_216	7636	8550	914	927	23	10	14
read_217	6437	7278	841	852	19	8	13
read_218	6256	6870	614	617	12	9	7
read_219	4377	4798	421	422	9	8	8
read_220	2333	2739	406	407	7	6	2
read_221	8123	8551	428	432	10	6	4
read_222	7401	8022	621	626	13	8	5
read_223	2502	3339	837	839	17	15	7
read_224	6863	7494	631	640	12	3	9
read_225	7980	8760	780	778	13	15	9
read_226	2445	3283	838	844	18	12	12
read_227	97	742	645	645	16	16	6
read_228	7975	8906	931	936	22	17	8
read_229	8911	9285	374	374	9	9	2
read_230	5173	5897	724	737	17	4	4
read_231	682	1667	985	982	17	20	11
read_232	3581	4352	771	769	10	12	10
read_233	4064	4996	932	939	19	12	6
read_234	1370	2027	657	653	6	10	15
read_235	3786	4698	912	915	20	17	11
read_236	5110	5566	456	453	5	8	3
read_237	3147	3638	491	494	12	9	5
read_238	5398	6359	961	961	16	16	10
read_239	7405	7809	404	408	6	2	5
read_240	4349	4707	358	354	4	8	3
read_241	4964	5554	590	593	13	10	8
read_242	7303	7955	652	664	17	5	10
read_243	7727	8317	590	592	8	6	3
read_244	4072	5045	973	988	28	13	8
read_245	513	1311	798	802	15	11	4
read_246	3782	4425	643	649	13	7	13
read_247	3690	4356	666	669	12	9	6
read_248	6568	7261	693	697	12	8	9
read_249	7036	7509	473	483	12	2	8
read_250	8624	9496	872	868	11	15	9
read_251	2160	2901	741	744	13	10	15
read_252	3371	4363	992	995	18	15	12
read_253	5751	6092	341	345	10	6	5
read_254	5476	5876	400	408	14	6	4
read_255	9228	9731	503	506	9	6	14
read_256	7136	7500	364	368	10	6	4
read_257	6923	7858	935	949	29	15	10
read_258	5019	5688	669	670	9	8	13
read_259	4416	5202	786	793	15	8	11
read_260	1264	1787	523	523	6	6	6
read_261	1597	2179	582	589	13	6	3
read_262	273	887	614	623	17	8	8
read_263	1486	1823	337	341	6	2	2
read_264	7465	8121	656	664	13	5	11
read_265	8204	9018	814	834	29	9	6
read_266	4550	5381	831	829	11	13	10
read_267	874	1263	389	393	10	6	6
read_268	9282	9865	583	582	10	11	7
read_269	5323	6131	808	809	13	12	7
read_270	8125	8744	619	619	9	9	4
read_271	3981	4282	301	304	5	2	5
read_272	5940	6641	701	709	14	6	7
read_273	8980	9836	856	856	15	15	13
read_274	5992	6771	779	776	12	15	11
read_275	1002	1846	844	850	16	10	10
read_276	7477	8035	558	568	15	5	11
read_277	4213	5196	983	993	23	13	7
read_278	6756	7104	348	343	7	12	1
read_279	1004	1455	451	449	6	8	9
read_280	3784	4217	433	436	10	7	4
read_281	1145	1630	485	483	6	8	6
read_282	3123	3894	771	768	13	16	15
read_283	718	1675	957	978	31	10	13
read_284	1677	1984	307	315	12	4	6
read_285	4734	5465	731	738	13	6	7
read_286	3051	3715	664	661	13	16	9
read_287	3125	3516	391	390	5	6	6
read_288	3699	4056	357	360	7	4	2
read_289	1582	2433	851	851	10	10	9
read_290	3342	4019	677	682	17	12	6
read_291	1178	1634	456	459	7	4	8
read_292	1387	1799	412	409	4	7	4
read_293	6903	7324	421	423	6	4	5
read_294	2792	3477	685	689	12	8	9
read_295	675	1434	759	769	20	10	8
read_296	4582	5136	554	554	10	10	7
read_297	7884	8616	732	735	15	12	7
read_298	5126	5843	717	725	20	12	9
read_299	6903	7563	660	667	15	8	6
read_300	8885	9605	720	721	12	11	6
read_301	9159	9690	531	524	7	14	7
read_302	5806	6604	798	797	11	12	4
read_303	8957	9940	983	981	8	10	12
read_304	1746	2122	376	376	4	4	10
read_305	3906	4493	587	591	16	12	7
read_306	6582	7334	752	769	24	7	13
read_307	1071	1754	683	688	16	11	7
read_308	2529	2872	343	345	9	7	10
read_309	7349	8094	745	745	10	10	10
read_310	1022	1652	630	639	15	6	13
read_311	2339	2885	546	555	17	8	2
read_312	2617	3421	804	815	21	10	9
read_313	2170	2630	460	462	8	6	4
read_314	6293	7288	995	1007	19	7	11
read_315	4761	5145	384	385	6	5	4
read_316	1824	2663	839	852	24	11	10
read_317	1770	2323	553	553	13	13	4
read_318	4205	5005	800	805	14	9	11
read_319	3739	4286	547	552	15	10	6
read_320	7427	7860	433	427	2	8	4
read_321	668	1016	348	357	13	4	3
read_322	8530	9289	759	766	15	8	11
read_323	6220	6848	628	642	21	7	9
read_324	1507	2086	579	588	17	8	6
read_325	86	889	803	809	15	9	6
read_326	8771	9712	941	948	21	14	12
read_327	8921	9899	978	975	14	17	12
read_328	770	1480	710	709	11	12	5
read_329	3608	4370	762	769	16	9	9
read_330	7443	8058	615	625	15	5	8
read_331	2889	3562	673	661	7	19	2
read_332	5632	6536	904	910	18	12	9
read_333	6585	7295	710	712	12	10	5
read_334	6507	6891	384	383	6	7	3
read_335	7287	8098	811	812	13	12	7
read_336	2598	3339	741	749	17	9	4
read_337	1987	2621	634	637	12	9	4
read_338	5918	6615	697	704	20	13	8
read_339	8560	9555	995	998	15	12	13
read_340	7400	8243	843	850	17	10	10
read_341	6718	7287	569	573	12	8	10
read_342	1525	2515	990	998	23	15	14
read_343	6328	6735	407	410	8	5	5
read_344	2182	2927	745	754	15	6	8
read_345	7103	7431	328	328	5	5	4
read_346	8852	9726	874	879	18	13	14
read_347	7866	8553	687	691	13	9	13
read_348	1972	2805	833	835	16	14	11
read_349	2177	2594	417	427	13	3	2
read_350	4830	5488	658	651	13	20	4
read_351	7081	7908	827	822	9	14	16
read_352	3366	4364	998	1008	24	14	10
read_353	5768	6734	966	988	24	2	12
read_354	5017	5736	719	731	15	3	9
read_355	7774	8682	908	908	8	8	7
read_356	5493	6360	867	874	18	11	11
read_357	5716	6694	978	985	15	8	15
read_358	9142	9718	576	574	8	10	7
read_359	1736	2146	410	405	5	10	7
read_360	9279	9690	411	419	10	2	5
read_361	8826	9595	769	766	9	12	6
read_362	158	882	724	725	16	15	4
read_363	7965	8496	531	537	12	6	4
read_364	2776	3703	927	934	23	16	14
read_365	2949	3910	961	975	23	9	10
read_366	86	403	317	321	5	1	6
read_367	4803	5444	641	641	12	12	7
read_368	4580	5294	714	720	19	13	13
read_369	7461	8229	768	776	19	11	6
read_370	5020	5814	794	797	12	9	7
read_371	7224	7561	337	334	4	7	4
read_372	6585	6952	367	365	5	7	5
read_373	2920	3473	553	551	7	9	4
read_374	1803	2522	719	724	16	11	6
read_375	7158	8114	956	975	28	9	11
read_376	7013	7495	482	484	11	9	2
read_377	2715	3651	936	937	15	14	7
read_378	1519	1946	427	437	16	6	1
read_379	1358	1746	388	387	8	9	2
read_380	3470	4065	595	605	17	7	6
read_381	8215	9012	797	807	19	9	7
read_382	2619	3191	572	573	11	10	6
read_383	4973	5723	750	760	21	11	7
read_384	2830	3654	824	826	18	16	2
read_385	819	1774	955	961	16	10	14
read_386	8831	9592	761	764	15	12	6
read_387	5622	6497	875	862	6	19	10
read_388	6537	7505	968	969	18	17	11
read_389	1934	2355	421	418	6	9	5
read_390	8246	8781	535	543	11	3	11
read_391	4601	5307	706	706	14	14	5
read_392	3038	3964	926	923	11	14	4
read_393	2947	3828	881	886	19	14	9
read_394	2487	3123	636	639	12	9	7
read_395	2386	3371	985	987	20	18	12
read_396	1287	2070	783	785	18	16	8
read_397	6518	7489	971	978	19	12	14
read_398	6336	7001	665	667	11	9	7
read_399	1043	1690	647	647	10	10	6
read_400	9373	9961	588	595	11	4	4
read_401	3670	4175	505	509	11	7	5
read_402	5190	6154	964	963	19	20	6
read_403	2802	3669	867	864	11	14	7
read_404	869	1415	546	555	11	2	9
read_405	3967	4434	467	462	6	11	4
read_406	2650	3359	709	709	13	13	10
read_407	1667	2085	418	413	3	8	7
read_408	2385	3375	990	987	19	22	11
read_409	532	1006	474	477	7	4	7
read_410	2132	3018	886	892	20	14	9
read_411	3269	4136	867	870	19	16	9
read_412	2891	3657	766	770	18	14	7
read_413	7102	7569	467	473	11	5	6
read_414	5946	6845	899	897	15	17	5
read_415	7934	8463	529	528	10	11	3
read_416	6062	6807	745	748	9	6	9
read_417	4169	4578	409	409	8	8	1
read_418	3936	4386	450	443	2	9	2
read_419	774	1698	924	936	24	12	14
read_420	6393	6725	332	334	5	3	4
read_421	2979	3414	435	444	13	4	5
read_422	343	846	503	504	8	7	7
read_423	6921	7500	579	577	5	7	10
read_424	2863	3378	515	512	6	9	5
read_425	7209	7824	615	618	9	6	11
read_426	2589	2908	319	323	7	3	2
read_427	7672	8254	582	580	6	8	8
read_428	4704	5500	796	802	17	11	11
read_429	4549	5313	764	771	18	11	8
read_430	1515	2278	763	763	14	14	10
read_431	8026	8865	839	847	16	8	9
read_432	3904	4896	992	1004	27	15	6
read_433	7137	7925	788	793	14	9	11
read_434	6888	7203	315	316	3	2	4
read_435	2919	3523	604	611	15	8	7
read_436	6779	7341	562	564	10	8	6
read_437	5760	6450	690	690	8	8	9
read_438	1588	2449	861	876	20	5	9
read_439	6691	7620	929	948	28	9	7
read_440	2192	3151	959	963	22	18	11
read_441	8739	9505	766	770	11	7	4
read_442	3495	3828	333	335	6	4	7
read_443	8814	9787	973	979	24	18	7
read_444	3401	3736	335	335	5	5	5
read_445	968	1819	851	857	19	13	7
read_446	6976	7483	507	514	12	5	7
read_447	2532	3061	529	528	8	9	7
read_448	8650	9236	586	592	15	9	10
read_449	9491	9799	308	309	5	4	0
read_450	9499	9841	342	350	10	2	7
read_451	424	845	421	426	7	2	5
read_452	4935	5697	762	760	7	9	7
read_453	5093	5880	787	801	19	5	11
read_454	5730	6108	378	380	8	6	1
read_455	8816	9385	569	576	13	6	3
read_456	3879	4655	776	781	18	13	3
read_457	6844	7735	891	900	23	14	9
read_458	5373	5905	532	544	18	6	4
read_459	6392	7049	657	659	10	8	14
read_460	2327	3051	724	736	18	6	13
read_461	2087	3069	982	998	27	11	7
read_462	5186	5511	325	331	8	2	1
read_463	3889	4428	539	536	3	6	9
read_464	3373	3795	422	423	8	7	4
read_465	12	528	516	522	10	4	4
read_466	6837	7805	968	983	30	15	12
read_467	4105	4449	344	341	3	6	2
read_468	697	1155	458	458	6	6	8
read_469	546	896	350	353	8	5	1
read_470	5527	6437	910	911	15	14	9
read_471	3344	4270	926	928	13	11	11
read_472	5567	6119	552	552	9	9	5
read_473	6163	6758	595	603	15	7	8
read_474	5345	6038	693	695	7	5	7
read_475	7821	8195	374	376	8	6	5
read_476	3871	4756	885	887	15	13	17
read_477	199	1097	898	915	28	11	8
read_478	6213	6671	458	464	11	5	5
read_479	671	1533	862	864	16	14	13
read_480	8856	9844	988	994	17	11	7
read_481	5866	6315	449	454	8	3	3
read_482	8991	9352	361	364	9	6	2
read_483	1388	2138	750	754	19	15	8
read_484	6695	7486	791	792	14	13	7
read_485	8479	8947	468	476	12	4	3
read_486	2045	3031	986	1000	22	8	11
read_487	4069	4378	309	312	6	3	5
read_488	6622	7081	459	456	4	7	4
read_489	6550	7065	515	518	12	9	7
read_490	4279	4964	685	697	22	10	10
read_491	2115	3019	904	921	21	4	10
read_492	1075	1843	768	778	20	10	6
read_493	1481	1820	339	337	5	7	9
read_494	6254	7178	924	939	30	15	6
read_495	5450	6036	586	590	8	4	8
read_496	3917	4352	435	428	3	10	4
read_497	4443	4977	534	537	10	7	4
read_498	1827	2647	820	819	10	11	11
read_499	2242	2615	373	376	12	9	9
read_500	5044	5820	776	776	17	17	8
read_501	4207	5030	823	830	18	11	5
read_502	5868	6231	363	360	4	7	4
read_503	5146	5930	784	798	24	10	15
read_504	5466	6203	737	741	19	15	5
read_505	4425	4804	379	377	9	11	4
read_506	8550	9360	810	816	16	10	12
read_507	8514	9391	877	879	14	12	9
read_508	2518	3422	904	910	24	18	9
read_509	5511	6511	1000	1017	30	13	7
read_510	3620	4440	820	823	13	10	7
read_511	226	548	322	330	11	3	4
read_512	3411	3902	491	493	7	5	7
read_513	7762	8647	885	887	18	16	7
read_514	442	1125	683	684	10	9	5
read_515	7327	7639	312	314	5	3	2
read_516	8421	9093	672	677	14	9	5
read_517	329	826	497	500	8	5	6
read_518	5917	6293	376	377	4	3	1
read_519	7947	8265	318	323	9	4	6
read_520	2724	3634	910	918	23	15	12
read_521	6320	6621	301	299	5	7	5
read_522	6110	6535	425	430	10	5	8
read_523	9237	9843	606	617	17	6	4
read_524	3742	4596	854	867	26	13	8
read_525	3286	4071	785	791	16	10	7
read_526	6646	7215	569	573	12	8	9
read_527	8273	9210	937	952	26	11	12
read_528	6937	7719	782	781	8	9	14
read_529	8162	9068	906	920	26	12	9
read_530	8461	8983	522	535	14	1	5
read_531	6507	7065	558	560	8	6	5
read_532	4130	4607	477	482	10	5	6
read_533	2985	3438	453	454	9	8	5
read_534	432	779	347	350	7	4	4
read_535	187	983	796	791	11	16	10
read_536	1417	2192	775	788	18	5	11
read_537	878	1264	386	396	12	2	4
read_538	127	429	302	298	4	8	3
read_539	3455	4432	977	986	22	13	5
read_540	1534	2172	638	642	14	10	8
read_541	8976	9899	923	932	21	12	10
read_542	8731	9664	933	942	20	11	9
read_543	5902	6233	331	334	5	2	4
read_544	4384	5277	893	893	13	13	11
read_545	2196	2889	693	709	22	6	13
read_546	7460	8178	718	726	16	8	6
read_547	7087	7585	498	493	2	7	4
read_548	8763	9690	927	930	17	14	8
read_549	4571	5410	839	855	20	4	8
read_550	7368	8321	953	965	23	11	7
read_551	6064	6924	860	874	25	11	7
read_552	1464	2313	849	862	23	10	7
read_553	5024	6003	979	990	20	9	14
read_554	3194	3737	543	545	8	6	5
read_555	1253	1870	617	613	10	14	9
read_556	7523	7839	316	320	6	2	2
read_557	2113	2790	677	688	16	5	8
read_558	3684	4228	544	550	14	8	6
read_559	1500	2443	943	954	22	11	12
read_560	8783	9340	557	561	10	6	8
read_561	7068	7900	832	840	18	10	15
read_562	1345	1884	539	543	10	6	10
read_563	7999	8396	397	404	12	5	4
read_564	4712	5227	515	515	8	8	5
read_565	2736	3254	518	527	12	3	9
read_566	1807	2679	872	888	24	8	6
read_567	4691	5553	862	866	19	15	12
read_568	9400	9740	340	340	4	4	4
read_569	1708	2148	440	442	12	10	3
read_570	8826	9524	698	706	15	7	5
read_571	3449	4203	754	760	21	15	8
read_572	4964	5362	398	403	12	7	4
read_573	3519	4377	858	861	13	10	11
read_574	6144	6689	545	544	12	13	10
read_575	7748	8145	397	398	3	2	10
read_576	2400	3295	895	909	27	13	12
read_577	5884	6282	398	399	8	7	5
read_578	5417	5757	340	337	6	9	5
read_579	5641	5996	355	355	6	6	5
read_580	3998	4919	921	918	17	20	15
read_581	1593	2539	946	954	20	12	12
read_582	5297	5916	619	621	12	10	7
read_583	2504	2831	327	339	16	4	2
read_584	5762	6507	745	745	9	9	5
read_585	3881	4236	355	348	2	9	4
read_586	5051	5778	727	740	25	12	5
read_587	425	1146	721	723	12	10	6
read_588	6956	7898	942	944	15	13	15
read_589	7096	8028	932	947	30	15	10
read_590	6254	6563	309	312	6	3	1
read_591	7202	7774	572	577	10	5	4
read_592	5014	5755	741	738	10	13	8
read_593	7057	7540	483	486	8	5	10
read_594	3501	4140	639	638	9	10	8
read_595	355	942	587	585	6	8	9
read_596	2449	3156	707	706	8	9	5
read_597	3692	4637	945	955	22	12	9
read_598	6750	7168	418	415	4	7	8
read_599	7533	8269	736	741	13	8	8
read_600	4368	5015	647	661	21	7	4
read_601	8310	8885	575	578	13	10	3
read_602	5256	5770	514	523	12	3	9
read_603	8070	8607	537	540	10	7	7
read_604	6254	6860	606	611	11	6	9
read_605	3369	3722	353	348	2	7	10
read_606	1129	1849	720	727	19	12	6
read_607	7784	8652	868	868	17	17	6
read_608	5548	6260	712	709	10	13	4
read_609	5418	6253	835	839	16	12	8
read_610	4559	5322	763	767	14	10	3
read_611	2138	2743	605	603	9	11	10
read_612	5849	6476	627	631	10	6	6
read_613	3770	4761	991	990	14	15	5
read_614	6722	7595	873	881	23	15	10
read_615	2071	2474	403	404	8	7	6
read_616	6624	7264	640	657	18	1	8
read_617	4160	4963	803	801	13	15	11
read_618	7384	8115	731	734	12	9	7
read_619	1527	2033	506	510	12	8	5
read_620	7247	7884	637	635	9	11	8
read_621	6191	6729	538	543	11	6	10
read_622	2415	3197	782	787	25	20	7
read_623	2359	2825	466	465	8	9	1
read_624	5911	6424	513	517	13	9	6
read_625	3694	4693	999	1011	25	13	18
read_626	8752	9686	934	939	18	13	8
read_627	2516	3316	800	803	12	9	8
read_628	5379	6006	627	637	15	5	9
read_629	4626	5139	513	513	7	7	7
read_630	3990	4728	738	738	12	12	10
read_631	862	1638	776	770	8	14	9
read_632	8035	8828	793	789	8	12	6
read_633	3021	3503	482	487	12	7	9
read_634	1069	2047	978	994	28	12	13
read_635	2290	2793	503	504	10	9	10
read_636	9174	9475	301	306	9	4	4
read_637	1967	2688	721	728	18	11	3
read_638	640	1572	932	943	22	11	18
read_639	4228	4610	382	384	9	7	6
read_640	6201	6583	382	384	7	5	6
read_641	4340	5059	719	720	7	6	8
read_642	3529	4161	632	639	15	8	4
read_643	1189	1896	707	718	19	8	7
read_644	3447	4202	755	758	17	14	10
read_645	1435	1991	556	560	11	7	7
read_646	6275	6826	551	554	10	7	7
read_647	5048	5476	428	427	5	6	6
read_648	6	733	727	732	14	9	7
read_649	6267	6900	633	634	8	7	6
read_650	3681	4290	609	615	15	9	6
read_651	1898	2763	865	865	16	16	9
read_652	5758	6194	436	441	12	7	7
read_653	4023	4560	537	545	14	6	11
read_654	1483	2061	578	592	20	6	3
read_655	7846	8231	385	390	10	5	7
read_656	9044	9696	652	653	10	9	7
read_657	7202	7530	328	332	10	6	3
read_658	1757	2385	628	643	20	5	10
read_659	7157	8085	928	941	23	10	15
read_660	6493	6801	308	311	8	5	3
read_661	9051	9369	318	315	3	6	9
read_662	4054	4975	921	924	21	18	8
read_663	6771	7104	333	331	4	6	3
read_664	4226	4897	671	673	12	10	4
read_665	5501	5933	432	433	8	7	4
read_666	4235	4853	618	625	15	8	5
read_667	2352	2831	479	483	8	4	11
read_668	1820	2401	581	576	8	13	4
read_669	151	932	781	789	21	13	9
read_670	8546	9069	523	537	19	5	4
read_671	7061	7690	629	634	11	6	7
read_672	1161	1761	600	604	16	12	3
read_673	7265	7634	369	376	11	4	6
read_674	5050	5904	854	860	20	14	7
read_675	6226	7099	873	874	13	12	11
read_676	7492	7930	438	445	10	3	7
read_677	892	1769	877	880	14	11	7
read_678	2737	3703	966	986	26	6	12
read_679	2098	2453	355	363	13	5	4
read_680	2941	3644	703	709	15	9	4
read_681	6945	7582	637	637	12	12	10
read_682	2028	2444	416	416	6	6	8
read_683	5572	6374	802	808	17	11	8
read_684	3470	4349	879	878	14	15	10
read_685	6141	6685	544	560	17	1	7
read_686	3748	4371	623	622	12	13	8
read_687	2858	3268	410	407	7	10	6
read_688	6979	7339	360	366	8	2	6
read_689	1597	2059	462	466	12	8	2
read_690	8497	9371	874	876	16	14	8
read_691	7052	7477	425	423	1	3	9
read_692	3682	4350	668	673	14	9	10
read_693	9360	9764	404	403	5	6	2
read_694	5767	6401	634	646	15	3	6
read_695	3156	3870	714	716	11	9	11
read_696	1661	2546	885	890	17	12	11
read_697	9256	9948	692	699	12	5	9
read_698	7466	7895	429	432	11	8	3
